id,query_type,message,Class,Label,Hate_Speech,Offensive_Language,Insult,Normal_Comment
559,Facebook:/<page-id>/posts, les 10 promesses du chef de l'État à la population du Salamat,normal,4,0,0,0,4
588,Facebook:/<post-id>/comments,Les IMMATURES tiennent à remercier  tous ceux qui ont contribué moralement,normal,4,0,0,0,4
589,Facebook:/<post-id>/comments,Dieu merci ! Mais je une préoccupation pour leur libération sans condition,normal,4,0,0,0,4
589,Facebook:/<page-id>/posts,"""Dieu n'exauce pas nos prières et n'agrée pas nos sacrifices quand nos coeurs sont remplis de rancoeurs et de haines (...) L’exemple vient d’en haut et la confiance d’en bas"" #Tchad",normal,4,0,0,0,4
602,Facebook:/<post-id>/comments,Merci pour le badge ?????? nous sommes et nous serons toujours là??????????,normal,4,0,0,0,4
602,Facebook:/<page-id>/posts,Forum national inclusif : 21 personnalités distinguées par le chef de l’État #Tchad  https://www.alwihdainfo.com/Tchad-21-personnalites-distinguees-par-le-president-suite-au-Forum-inclusif_a97092.html,normal,4,0,0,0,4
619,Facebook:/<post-id>/comments,Ets Konori Gouria Lillah et merci pour le temps que vous passez avec nous??,normal,4,0,0,0,4
619,Facebook:/<page-id>/posts, un meeting des Transformateurs à la cité de Gassi pour la première fois,normal,4,0,0,0,4
636,Facebook:/<post-id>/comments,Une vérité crue ! Merci d’avoir dit la vérité. L’avenir te donnera raison. ,normal,4,0,0,0,4
638,Facebook:/<post-id>/comments,Voilà des réactions que nous attendons. Merci Docteur et mes encouragements,normal,4,0,0,0,4
638,Facebook:/<page-id>/posts, des tirs de grenades lacrymogènes font trois blessés au siège des Transformateurs,normal,4,0,0,0,4
647,Facebook:/<post-id>/comments,Vraiment Merci Dr Mht Ali c est un message rassurant et qui apaise le coeur,normal,4,0,0,0,4
682,Facebook:/<post-id>/comments,La viande de cheval est vendue à N’Djamena dont l’âne est le petit cheval ?? quelle différence ya djama ?? ?? ?? ,normal,4,0,0,0,4
706,Facebook:/<post-id>/comments,Le tchadanthropus-tribune Merci pour cette remarque pertinente et citoyenne,normal,4,0,0,0,4
706,Facebook:/<page-id>/posts, d'où provient le Chikungunya qui sévit à Abéché ?  https://www.alwihdainfo.com/Tchad-d-ou-provient-le-Chikungunya-qui-sevit-a-Abeche_a93293.html,normal,4,0,0,0,4
713,Facebook:/<post-id>/comments,Merci idem aussi me seulement que chercher nous almouhandise s'il vous plaît,normal,4,0,0,0,4
713,Facebook:/<page-id>/posts, Djerassem Le Bemadjiel entendu par le Procureur général de la Cour suprême,normal,4,0,0,0,4
714,Facebook:/<post-id>/comments,Merci beaucoup Tchad Kalam aujourd'hui la t'as bien parlé. Bravo ????????????,normal,4,0,0,0,4
714,Facebook:/<page-id>/posts, une fille de 9 ans victime d'un viol à Moundou  https://www.alwihdainfo.com/Tchad-une-fille-de-9-ans-victime-d-un-viol-a-Moundou_a93199.html,normal,4,0,0,0,4
777,Facebook:/<post-id>/comments,Waouh félicitations mon grand quel rappel de quartier mardjandafac merci Dieu,normal,4,0,0,0,4
778,Facebook:/<post-id>/comments,Merci cher beaucoup Tchadentropus de ces révélations combien de fois louables,normal,4,0,0,0,4
778,Facebook:/<page-id>/posts, déguerpissement d'habitants au marché Champ de fil de N'Djamena,normal,4,0,0,0,4
787,Facebook:/<post-id>/comments,Dieu merci je ne suis pas abonnée et je suis désolé pour les abonnés et kafara,normal,4,0,0,0,4
794,Facebook:/<post-id>/comments,La parodie est vraiment de taille merci de m’avoir arraché le sourire ce matin,normal,4,0,0,0,4
794,Facebook:/<page-id>/posts, la cérémonie d'élévation du Maréchal Idriss Déby aura lieu le 11 août 2020 à l'Assemblée nationale,normal,4,0,0,0,4
796,Facebook:/<post-id>/comments,Merci docteur pour vos efforts louables le pays à besoin des hommes comme vous,normal,4,0,0,0,4
801,Facebook:/<post-id>/comments,Je dis bravo à tous nos associations et merci beaucoup et félicitations à elle.,normal,4,0,0,0,4
801,Facebook:/<page-id>/posts, un homme âgé se marie à une fille de 12 ans et fuit à l’arrivée de la police  https://www.alwihdainfo.com/Tchad-un-homme-age-se-marie-a-une-fille-de-12-ans-et-fuit-a-l-arrivee-de-la-police_a90432.html,normal,4,0,0,0,4
804,Facebook:/<post-id>/comments,Merci Docteur qu'Allah vous aide à faire face à cette situation très difficile.,normal,4,0,0,0,4
804,Facebook:/<page-id>/posts, Le député Ousmane Cherif Khamdjan approuve l’élévation de Déby à la dignité de maréchal,normal,4,0,0,0,4
820,Facebook:/<post-id>/comments,Annonce lui l'arrivée d'une deuxième femme et tu verras ?? Ne me remercie pas ??,normal,4,0,0,0,4
827,Facebook:/<post-id>/comments,Des toutes façons Mach Allah et vous êtes un homm qui a de coeur merci et merci. ,normal,4,0,0,0,4
828,Facebook:/<post-id>/comments,Donc merci a vous tous voulais rien compris dans notre pays Tchad mn cher frère. ,normal,4,0,0,0,4
828,Facebook:/<page-id>/posts," des installations ""frauduleuses"" de fibre optique démantelées par l'Arcep à N'Djamena",normal,4,0,0,0,4
829,Facebook:/<post-id>/comments,Merci mr le president pour ton conseil vraiment le tchad est en paix grâce à vous.,normal,4,0,0,0,4
831,Facebook:/<post-id>/comments,Un retour triomphal peu à peu vraiment ça va l'aider beaucoup et merci Tchad Kalam ,normal,4,0,0,0,4
835,Facebook:/<post-id>/comments,merci pour vous aussi pour les informations et nous faire rire djazzakallah bikhair,normal,4,0,0,0,4
840,Facebook:/<post-id>/comments,Il fait partie de gens que Djiddi à sauver hélas au Tchad ce comça qu'on te remercie ,normal,4,0,0,0,4
840,Facebook:/<page-id>/posts, les élèves reprennent le chemin des classes à Goz Beida,normal,4,0,0,0,4
884,Facebook:/<post-id>/comments,Tu as tous décortiquer Merci encore merci pour dévoiler ce qui est en bat a haut voix.,normal,4,0,0,0,4
898,Facebook:/<post-id>/comments,Merci Tchad Kalam pour l'insertion socialement active de Al-mouhandisse. Courage mes frère !,normal,4,0,0,0,4
900,Facebook:/<post-id>/comments,Donnes moi badge de super fan là si tu es administratrice dah. Merci et j’attends ohhh??????,normal,4,0,0,0,4
902,Facebook:/<post-id>/comments,Merci pour cette déclaration humiliante à l'endroit des rédacteurs du forum 1.chapeau kabir.,normal,4,0,0,0,4
902,Facebook:/<page-id>/posts,La Covid-19 représente une opportunité de réinitialiser l'Afrique (Tony Elumelu),normal,4,0,0,0,4
906,Facebook:/<post-id>/comments,Merci à toi de même  Houda nichifa da président hana Sénat aldjedid dabess Amaday ???????????,normal,4,0,0,0,4
924,Facebook:/<post-id>/comments,Merci Pour votre sincérité vous un très bon visionnaire que dieu vous bénisse et vous protège,normal,4,0,0,0,4
924,Facebook:/<page-id>/posts, la gendarmerie annonce l'arrestation de plusieurs présumés malfrats,normal,4,0,0,0,4
935,Facebook:/<post-id>/comments,Dis à tes parents de ne pas pleurer si un malheur t'arrive où tu es. Merci pour ta compréhension.,normal,4,0,0,0,4
935,Facebook:/<page-id>/posts, un jeune garçon retrouvé mort noyé à Ati,normal,4,0,0,0,4
936,Facebook:/<post-id>/comments,ce que vous dites la c'est une incitation à la haine (ce ça ce le Tchad que nous voulons merci)  ,normal,4,0,0,0,4
940,Facebook:/<post-id>/comments,MERCI QUE DIEU VOUS AIDE ! LE PROPHÈTE (PBSL) DISAIT : LA LARGESSE N'A JAMAIS DIMINUÉ LA RICHESSE,normal,4,0,0,0,4
940,Facebook:/<page-id>/posts,Covid-19 : Le #Tchad annonce deux décès,normal,4,0,0,0,4
948,Facebook:/<post-id>/comments,Merci d'avoir pensé à nous. Aïd Mabrouk à vous et à tous les familles de la page du Tchad kalam...,normal,4,0,0,0,4
954,Facebook:/<post-id>/comments,Merci à vs pr ces moments fort. Vs faite de votre mieux pr ns rendre tjrs heureux. Dieu vs benisse,normal,4,0,0,0,4
958,Facebook:/<post-id>/comments,C'est un très bon médecin. Je le connaissais depuis libreville. Merci et bon vent mon frère dr Ali,normal,4,0,0,0,4
963,Facebook:/<post-id>/comments,Dieu merci ! Qu'Allah épargne cette pauvre population de ce virus et de toutes les autres maladies,normal,4,0,0,0,4
963,Facebook:/<page-id>/posts,#Tchad - Covid-19 : prison ferme pour avoir aidé des confinés à fuir de Koutéré,normal,4,0,0,0,4
974,Facebook:/<post-id>/comments,Arretes toi une minute et dit Merci à la première femme qui t'a mis au monde. Si tu aimes ta maman ?,normal,4,0,0,0,4
981,Facebook:/<post-id>/comments,Je sais là où il est...si tu veux je vais te montré...mais ne me remercie pas c'est gratosssssss ohhh,normal,4,0,0,0,4
981,Facebook:/<page-id>/posts,#Tchad / Covid-19 : des citoyens se mobilisent pour venir en aide et sensibiliser,normal,4,0,0,0,4
988,Facebook:/<post-id>/comments,Encore je suis de retour je voulais dire par là suit nous somme pas en démocratie en vrais dire merci,normal,4,0,0,0,4
988,Facebook:/<page-id>/posts,#Tchad - Covid-19 : la population du Mayo Kebbi Ouest sous pression des forces de l'ordre,normal,4,0,0,0,4
989,Facebook:/<post-id>/comments,Merci man nous sommes doyen pour nous c'est de l'histoire alors aktoulou b sabour besss tourkou dja ??,normal,4,0,0,0,4
989,Facebook:/<page-id>/posts,Lac #Tchad - Boko Haram : le ministre de la défense sur la ligne de front,normal,4,0,0,0,4
994,Facebook:/<post-id>/comments,Vous avez dit trois fois? N’oubliez pas de nous faire part du lieu du prochain rituel viandé.... Merci ,normal,4,0,0,0,4
996,Facebook:/<post-id>/comments,Merci ma soeur bravo c'est ça que je voulut juste une fille vas la répondre et je sais que elle rigolait,normal,4,0,0,0,4
1003,Facebook:/<post-id>/comments,Même si elle n est pas la première dame elle est une femme mariée son mari vaut mille fois que lui merci,normal,4,0,0,0,4
1003,Facebook:/<page-id>/posts, Mahmoud Ali Seid élevé au grade de contrôleur général de police,normal,4,0,0,0,4
1006,Facebook:/<post-id>/comments,Merci pour vous et bonne journée également pour la suite de votre travail sur le plus danser du monde ok ,normal,4,0,0,0,4
1006,Facebook:/<page-id>/posts, le Gouvernement entend fermer les marchés de N'Djamena. Cette nouvelle mesure devrait concerner les commerces non-alimentaires.,normal,4,0,0,0,4
1007,Facebook:/<post-id>/comments,J'ai regardé la vidéo plus de 100 fois cette fois ci Almouhandisssss a frappé fort merci mon grand .hhhhh,normal,4,0,0,0,4
1007,Facebook:/<page-id>/posts," les commerçants justifient une ""inévitable"" flambée de prix",normal,4,0,0,0,4
1009,Facebook:/<post-id>/comments,Merci pour la pensée ????? Nous sommes loin mais nos coeurs demeurent au 235. Aïd moubarak à l'équipe #Tk,normal,4,0,0,0,4
1009,Facebook:/<page-id>/posts,Covid-19 : La coalition Fils du #Tchad appelle les commerçants à la responsabilité sociale,normal,4,0,0,0,4
1010,Facebook:/<post-id>/comments,Hassan Mahamat Saleh Merci ça nous fait plaisir de vous faire rires! Partagez pour faites rires d'autres.,normal,4,0,0,0,4
1010,Facebook:/<page-id>/posts,????  de nombreux habitants de plusieurs quartiers de la ville d'Abéché protestent contre l'intronisation du sultan du Dar Ouaddaï.,normal,4,0,0,0,4
1011,Facebook:/<post-id>/comments,Comme çà vous allée encore suspendre les activité comme au temps des femmes commando Merci vive le Tchad ,normal,4,0,0,0,4
1035,Facebook:/<post-id>/comments,Dieu merci que je ne suis pas le seul victime d'harcèlement de ces arnaqueurs en masque de Samuel Eto'o ????,normal,4,0,0,0,4
1035,Facebook:/<page-id>/posts, des habitants en colère après qu’un motocycliste ait été renversé par un véhicule de l’opération Barkhane à N’Djamena,normal,4,0,0,0,4
1040,Facebook:/<post-id>/comments,Merci infinément tchadentropus- tribune pour vos efforts consentis au service du peuple tchadien en dangers.,normal,4,0,0,0,4
1040,Facebook:/<page-id>/posts,"""Le #Tchad de demain va ressembler aux jeunes qui sont formés aujourd'hui""",normal,4,0,0,0,4
1041,Facebook:/<post-id>/comments,Vraiment merci merci et merci encore au GROUPE WADI KOUNDI  d'avoir réduire les prix a ses peuples tchadiens,normal,4,0,0,0,4
1041,Facebook:/<page-id>/posts, la maire de Gagal Netarlem Nadbe Béatrice molestée par un préfet,normal,4,0,0,0,4
1044,Facebook:/<post-id>/comments,Merci Tchad kalam.  Vous êtes la meilleure page de l'année 2020. Je vous décerne ce prix du fond de mon cœur.,normal,4,0,0,0,4
1052,Facebook:/<post-id>/comments,Sa tombe bien avant la vs aller dir ya mm pas marché la kesk tu fait avk l'argent. Mais maina Dieu merci ????,normal,4,0,0,0,4
1055,Facebook:/<post-id>/comments,Tchandanthropus en matière de Droit il faut avoir preuve palpable pour accusé quelqu'un . merci cordialement ,normal,4,0,0,0,4
1055,Facebook:/<page-id>/posts,Électricité : Moundou déjà dans le noir après le départ du président #Tchad,normal,4,0,0,0,4
1056,Facebook:/<post-id>/comments,"Si c'est une femme qui est atteinte c'est ?la covid? et si c'est un homme c'est ""le covid"". Ne me remercie pas",normal,4,0,0,0,4
1056,Facebook:/<page-id>/posts," ""on a perdu plus de la moitié du marché"" (BDT)",normal,4,0,0,0,4
1060,Facebook:/<post-id>/comments,Ma soeur tu es musulmane qu'à tu es respectueuse essaies d'accorder l'islam dans sa place je m'excuse merci...,normal,4,0,0,0,4
1062,Facebook:/<post-id>/comments,Ngarbatinan vous avez intérêt de discuter votre place avec ce Cher administrateur merci pour la compréhension !,normal,4,0,0,0,4
1062,Facebook:/<page-id>/posts, le maire de Moundou suspendu par le préfet du Lac Wey  https://www.alwihdainfo.com/Tchad-le-maire-de-Moundou-suspendu-par-le-prefet-du-Lac-Wey_a83376.html,normal,4,0,0,0,4
1063,Facebook:/<post-id>/comments,Elle vous convient bien mais vous ne savez pas son utilité ma sœur sinon vous êtes présentable qu'à même merci.,normal,4,0,0,0,4
1065,Facebook:/<post-id>/comments,Salutation à toi aussi et on attend patiemment la rencontre qui sera génial pour nous tous. Merci vraiment ??????,normal,4,0,0,0,4
1065,Facebook:/<page-id>/posts, les défenseurs de droits humains dénoncent la situation à Abéché,normal,4,0,0,0,4
1066,Facebook:/<post-id>/comments,C vrais mais ont peut celebrer la naissance du propheth issa cet a dire le 31decembre par des zigcre c seon merci,normal,4,0,0,0,4
1066,Facebook:/<page-id>/posts, situation tendue au quartier Djatinié d'Abéché ce samedi matin où la population oppose une résistance aux forces de l'ordre. Elle s'oppose au déguerpissement de domiciles de la famille Royale Ourada. Des femmes se sont évanouies suite aux tirs de gaz lacrymogènes. Une ambulance dépêchée ne parvient pas à pénétrer sur les lieux.  Lire la suite : https://www.alwihdainfo.com/Tchad-situation-tendue-a-Abeche-tentative-de-deguerpissement-de-la-famille-Ourada_a83304.html,normal,4,0,0,0,4
1068,Facebook:/<post-id>/comments,Je suis d’avis mais on étudie pour acquérir la connaissance et afin de changer le mentalité des inconscients merci ,normal,4,0,0,0,4
1068,Facebook:/<page-id>/posts, le président à Moundou pour l'inauguration d'un complexe industriel,normal,4,0,0,0,4
1069,Facebook:/<post-id>/comments,S'il aura une financement de l'État pas de soucis même si ce 4 femme aussi je dois marie merci. Aidez la jeunesse ??,normal,4,0,0,0,4
1069,Facebook:/<page-id>/posts,Le tapis rouge a été récupéré de justesse par les forces de l'ordre des mains d'un voleur... #Tchad,normal,4,0,0,0,4
1070,Facebook:/<post-id>/comments,C’est ça la liberté d’expression et la cohabitation pacifique. Tous pour un Tchad ???? meilleur et merci Tchad kalam ,normal,4,0,0,0,4
1070,Facebook:/<page-id>/posts, des véhicules de tradipraticiens saisis par les autorités sanitaires à N'Djamena,normal,4,0,0,0,4
1071,Facebook:/<post-id>/comments,Là où tu es là sers toi une boisson bien tapé avant de dormir ??  c'est moi qui paye ??  Merci et bonne nuit  ?????????,normal,4,0,0,0,4
1071,Facebook:/<page-id>/posts, retour sur l'installation du nouveau gouverneur de la province de Sila,normal,4,0,0,0,4
1073,Facebook:/<post-id>/comments,Quand vous postez de belle photo comme ça là mettez aussi leur numéro de téléphone ?? merci ?? ??????  #MA HEYINE ??????,normal,4,0,0,0,4
1073,Facebook:/<page-id>/posts, indignation et colère après un regain de violences contre des femmes,normal,4,0,0,0,4
1075,Facebook:/<post-id>/comments,Merci mon frère bien clair  tu as parlé la vérité je te félicite 1000 fois plus que Dieu te  protège longévité ????????????,normal,4,0,0,0,4
1075,Facebook:/<page-id>/posts, les meurtriers d'une femme de 64 ans incarcérés à Amsinene,normal,4,0,0,0,4
1084,Facebook:/<page-id>/posts,"?? Conflit agriculteur & éleveurs à Kim : ""Il est avec ses fusils devant sa porte. Les corps des personnes tuées sont devant lui et personne ne peut l’arrêter"" #Tchad",normal,4,0,0,0,4
1086,Facebook:/<page-id>/posts,#Tchad: la LDTH demande au président Deby de ne pas proroger le confinement,normal,4,0,0,0,4
1087,Facebook:/<page-id>/posts, des heurts entre éleveurs et agriculteurs à Kim,normal,4,0,0,0,4
1089,Facebook:/<page-id>/posts, des difficultés dans la prise en charge de patients de la covid-19,normal,4,0,0,0,4
1090,Facebook:/<page-id>/posts,Homicide d'une fillette à la Loumia : la défense de Massing Laye Jérémie lève l’équivoque sur l'accusation contre leur client,normal,4,0,0,0,4
1091,Facebook:/<page-id>/posts,Mongo: le gouverneur de la province du Guéra exhorte au respect des mesures barrières,normal,4,0,0,0,4
1092,Facebook:/<page-id>/posts,Coronavirus : le ministère de la Femme fait appel aux organisations féminines pour accentuer la sensibilisation,normal,4,0,0,0,4
1093,Facebook:/<page-id>/posts,#Tchad: le Garde des sceaux rectifie sa note sur la suspension des audiences,normal,4,0,0,0,4
1094,Facebook:/<page-id>/posts, le CTVC met en garde le gouvernement contre un renouvellement du confinement de N'Djamena,normal,4,0,0,0,4
1095,Facebook:/<page-id>/posts,Société : Un père de cinq enfants viole sa cousine infirme sous l’effet de l’alcool,normal,4,0,0,0,4
1096,Facebook:/<page-id>/posts,Nécrologie: le journaliste Akram Abdelkerim Ahmat est décédé,normal,4,0,0,0,4
1100,Facebook:/<page-id>/posts, une femme malade conduite à l'hôpital à l'aide d'une charrette,normal,4,0,0,0,4
1102,Facebook:/<page-id>/posts,??Centrafrique: le président sortant Touadéra réélu,normal,4,0,0,0,4
1104,Facebook:/<page-id>/posts, Des vivres remis aux ménages vulnérables du 6e arrondissement,normal,4,0,0,0,4
1106,Facebook:/<page-id>/posts,Accident de 18h devant le ministère des infrastructures #Confinement #Couvrefeu #Maheyine #Tchad #Adjib,normal,4,0,0,0,4
1107,Facebook:/<page-id>/posts,Tchad : les jeunes avocats désapprouvent la suspension des audiences publiques,normal,4,0,0,0,4
